[SUM]  0.0- 1.0 sec  2.84 KBytes  23.2 Kbits/sec
[SUM]  1.0- 2.0 sec  52.5 KBytes   430 Kbits/sec
[SUM]  2.0- 3.0 sec  31.2 KBytes   256 Kbits/sec
[SUM]  3.0- 4.0 sec  96.4 KBytes   790 Kbits/sec
[SUM]  4.0- 5.0 sec  17.0 KBytes   139 Kbits/sec
[SUM]  5.0- 6.0 sec  48.2 KBytes   395 Kbits/sec
[SUM]  6.0- 7.0 sec  61.0 KBytes   499 Kbits/sec
[SUM]  7.0- 8.0 sec  48.2 KBytes   395 Kbits/sec
[SUM] 280.0-281.0 sec  68.7 KBytes   563 Kbits/sec
[SUM] 281.0-282.0 sec  58.3 KBytes   478 Kbits/sec
[SUM] 282.0-283.0 sec   114 KBytes   931 Kbits/sec
[SUM] 283.0-284.0 sec  25.5 KBytes   209 Kbits/sec
[SUM] 284.0-285.0 sec  47.1 KBytes   386 Kbits/sec
[SUM] 285.0-286.0 sec   120 KBytes   980 Kbits/sec
[SUM] 286.0-287.0 sec  13.8 KBytes   113 Kbits/sec
[SUM] 287.0-288.0 sec  22.7 KBytes   186 Kbits/sec
[SUM] 288.0-289.0 sec  93.4 KBytes   765 Kbits/sec
[SUM] 289.0-290.0 sec  32.8 KBytes   269 Kbits/sec
[SUM] 290.0-291.0 sec  16.3 KBytes   133 Kbits/sec
[SUM] 291.0-292.0 sec  57.2 KBytes   468 Kbits/sec
[SUM] 292.0-293.0 sec  48.3 KBytes   396 Kbits/sec
[SUM] 293.0-294.0 sec  13.1 KBytes   107 Kbits/sec
[SUM] 294.0-295.0 sec   172 KBytes  1.41 Mbits/sec
[SUM] 295.0-296.0 sec  88.6 KBytes   726 Kbits/sec
[SUM] 296.0-297.0 sec   141 KBytes  1.16 Mbits/sec
[SUM] 297.0-298.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 298.0-299.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 299.0-300.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 300.0-301.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 301.0-302.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 302.0-303.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 303.0-304.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 304.0-305.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 305.0-306.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 306.0-307.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 307.0-308.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 308.0-309.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 309.0-310.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 310.0-311.0 sec  0.00 Bytes  0.00 bits/sec
